,"2020","2020","2020","2019","2019","2019","2018","2018","2018","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
,"Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)"
"Country","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural"
"Cabo Verde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","74","83","71","73","84","69","71","85","67","70","86","65","69","87","63","67","87","62","66","88","60","64","89","58","63","90","56","63","90","56","63","90","56","63","90","56","63","90","56","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","36","47","22","36","47","22","36","47","22","36","47","22","36","47","22","36","47","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Central African Republic","22","34","12","21","33","12","20","32","12","20","31","12","19","29","13","19","28","13","18","27","13","18","26","13","18","25","13","17","24","13","17","22","13","16","21","13","16","20","13","16","20","13","16","20","13","16","20","13","16","20","13","","","","","","","","","","","",""
"Chad","25","35","22","24","35","21","24","35","20","23","36","19","22","36","17","21","37","16","20","37","15","19","38","14","18","38","13","17","39","11","16","39","10","16","40","9","15","40","8","15","40","8","15","40","8","15","40","8","15","40","8","","","","","","","","","","","",""
"Chile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"China","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colombia","68","76","32","68","76","32","68","76","32","68","76","32","67","76","32","67","76","32","67","76","32","67","76","32","67","76","32","67","76","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comoros","","","","","","","","","","","","","16","18","15","16","18","15","16","18","15","16","18","15","16","18","15","16","18","15","16","18","15","16","18","15","16","18","15","","","","","","","","","","","","","","","","","","","","","","","",""
"Congo","","","","48","56","32","48","56","32","48","56","32","48","56","32","48","56","32","48","56","32","48","56","32","47","56","32","47","56","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cook Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Costa Rica","86","87","83","86","86","83","85","86","83","85","86","83","85","85","83","85","85","83","85","85","83","84","85","83","84","84","83","84","84","83","84","84","83","83","84","83","83","84","83","83","84","83","83","84","83","83","84","83","","","","","","","","","","","","","","",""
"Côte d'Ivoire","22","31","11","21","31","11","20","30","10","20","29","10","19","28","9","18","28","9","18","27","9","17","26","8","16","26","8","16","25","7","15","24","7","15","24","7","15","24","7","15","24","7","15","24","7","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cuba","92","94","86","91","93","85","90","92","83","89","91","81","88","90","80","86","89","78","85","88","76","84","87","74","83","86","73","83","86","73","83","86","73","83","86","73","83","86","73","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czechia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Democratic People's Republic of Korea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Democratic Republic of the Congo","19","27","12","19","27","12","19","27","12","19","27","12","19","27","12","19","27","12","19","27","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Djibouti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominican Republic","47","50","33","47","50","33","47","50","33","47","50","33","46","50","33","46","50","33","46","50","33","46","50","33","46","50","33","46","50","33","45","50","33","45","50","33","45","50","33","","","","","","","","","","","","","","","","","","","","","","","",""
"Ecuador","87","92","79","87","92","79","87","92","79","87","92","79","87","92","79","87","92","79","87","92","79","87","92","79","87","92","79","87","92","79","87","92","79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Egypt","90","93","88","90","93","88","90","93","88","90","93","88","90","93","88","88","92","85","87","92","83","85","92","81","84","91","78","82","91","76","81","90","74","79","90","72","78","89","69","77","89","67","75","89","65","74","88","62","72","88","60","71","87","58","69","87","56","68","87","53","66","86","51"
"El Salvador","","","","","","","91","92","86","91","92","86","91","92","86","91","92","86","91","92","86","90","92","86","90","92","86","90","92","86","90","92","86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Equatorial Guinea","","","","","","","","","","","","","","","","24","26","20","24","26","20","24","26","20","24","26","20","24","26","20","24","26","20","24","26","20","24","26","20","24","26","20","","","","","","","","","","","","","","","","","","","","",""
"Eritrea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eswatini","24","48","17","24","48","17","24","48","17","24","48","17","24","48","17","24","48","17","24","48","17","24","48","17","24","48","17","24","48","17","24","48","17","24","48","17","24","48","17","24","48","17","24","48","17","24","48","17","24","48","17","","","","","","","","","","","",""
"Ethiopia","8","20","5","8","20","5","8","20","5","8","20","5","8","20","5","8","20","5","8","20","5","8","20","5","8","20","5","8","20","5","7","20","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fiji","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
